곡번호,곡제목,가수,작사,작곡
68478,毎日 - Every Day,"米津玄師
요네즈 켄시",米津玄師,米津玄師
52580,さよーならまたいつか！- Sayonara(ドラマ '虎に翼' OST),"米津玄師
요네즈 켄시",米津玄師,米津玄師
68840,地球儀 - Spinning Globe(映画 '君たちはどう生きるか' OST),"米津玄師
요네즈켄시",米津玄師,米津玄師
68824,月を見ていた(ゲーム 'FINAL FANTASY XVI' OST),"米津玄師
요네즈 켄시",米津玄師,米津玄師
68677,KICK BACK( 'チェンソーマン' OP),"米津玄師
요네즈켄시",米津玄師,米津玄師
68423,Pale Blue(ドラマ'リコカツ' OST),"米津玄師
요네즈 켄시",米津玄師,米津玄師
68300,感電(テーマ'MIU404' OST),"米津玄師
요네즈켄시",米津玄師,米津玄師
68173,NANIMONO(映画'何者' OST),"中田ヤスタカ(Feat.米津玄師)
나카타야 스타카(Feat.요네즈 켄시)",米津玄師,中田ヤスタカ
68094,馬と鹿(ドラマ'ノーサイド・ゲーム' OST),"米津玄師
요네즈 켄시",米津玄師,米津玄師
68019,海の幽霊(海獣の子供 OST),"米津玄師
요네즈켄시",米津玄師,米津玄師
28983,Flamingo,"米津玄師
요네즈 켄시",米津玄師,米津玄師
28822,Lemon(ドラマ'アンナチュラル' OST),"米津玄師
요네즈 켄시",米津玄師,米津玄師
28795,春雷,"米津玄師
요네즈 켄시",米津玄師,米津玄師
28789,灰色と青,"米津玄師(+菅田将暉)
요네즈 켄시,스다 마사키",米津玄師,米津玄師
28596,MAD HEAD LOVE,"米津玄師
요네즈 켄시",米津玄師,米津玄師
28750,打上花火(打ち上げ花火、下から見るか? 横から見るか? OST),"DAOKO X 米津玄師
DAOKO X 요네즈 켄시",米津玄師,米津玄師
28720,ピースサイン(僕のヒーローアカデミア OP),"米津玄師
요네즈 켄시",米津玄師,米津玄師
28686,LOSER,"米津玄師
요네즈 켄시",米津玄師,米津玄師
28660,Orion(3月のライオン ED),"米津玄師
요네즈 켄시",米津玄師,米津玄師
27945,メトロノーム,"米津玄師
요네즈 켄시",米津玄師,米津玄師
27941,ゴーゴー幽霊船,"米津玄師
요네즈 켄시",米津玄師,米津玄師
28607,アイネクライネ,"米津玄師
요네즈 켄시",米津玄師,米津玄師
27915,vivi,"米津玄師
요네즈 켄시",米津玄師,米津玄師
